;;;quick;;;;;select;;;;;insert;;;;;heap;;;;;mquick
n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n
100;659;698;0.000448;6.590000;6.980000;4950;198;0.000073;49.500000;1.980000;2640;2640;0.000040;26.400000;26.400000;1347;1147;0.000064;13.470000;11.470000;761;808;0.000109;7.610000;8.080000
200;1525;2114;0.000907;7.625000;10.570000;19900;398;0.000251;99.500000;1.990000;9528;9528;0.000128;47.639999;47.639999;3139;2739;0.000147;15.695000;13.695000;1645;1833;0.000227;8.225000;9.165000
300;2709;3158;0.000412;9.030000;10.526667;44850;598;0.000112;149.500000;1.993333;20786;20786;0.000057;69.286667;69.286667;5036;4436;0.000047;16.786667;14.786667;2709;2594;0.000096;9.030000;8.646667
400;3475;3613;0.000408;8.687500;9.032500;79800;798;0.000193;199.500000;1.995000;38593;38593;0.000105;96.482498;96.482498;7089;6289;0.000066;17.722500;15.722500;3699;3709;0.000109;9.247500;9.272500
500;4628;5624;0.000511;9.256000;11.248000;124750;998;0.000294;249.500000;1.996000;60403;60403;0.000208;120.806000;120.806000;9136;8136;0.000136;18.271999;16.271999;4750;4811;0.000176;9.500000;9.622000
600;6011;6857;0.000631;10.018333;11.428333;179700;1198;0.000442;299.500000;1.996667;86288;86288;0.000242;143.813339;143.813339;11323;10123;0.000112;18.871666;16.871666;6223;6569;0.000172;10.371667;10.948334
700;8090;9177;0.000736;11.557143;13.110000;244650;1398;0.000596;349.500000;1.997143;120170;120170;0.000335;171.671432;171.671432;13478;12078;0.000132;19.254286;17.254286;7576;7053;0.000201;10.822857;10.075714
800;8992;9536;0.000853;11.240000;11.920000;319600;1598;0.000771;399.500000;1.997500;156209;156209;0.000435;195.261246;195.261246;15787;14187;0.000155;19.733749;17.733749;8394;9097;0.000234;10.492500;11.371250
900;9894;12600;0.001055;10.993333;14.000000;404550;1798;0.001074;449.500000;1.997778;193379;193379;0.000735;214.865555;214.865555;18025;16225;0.000192;20.027779;18.027779;9817;11065;0.000313;10.907778;12.294444
1000;11081;13178;0.001021;11.081000;13.178000;499500;1998;0.001193;499.500000;1.998000;238888;238888;0.000627;238.888000;238.888000;20219;18219;0.000191;20.219000;18.219000;11126;11968;0.000285;11.126000;11.968000
1100;11995;13782;0.001115;10.904546;12.529091;604450;2198;0.001411;549.500000;1.998182;289428;289428;0.000784;263.116364;263.116364;22623;20423;0.000212;20.566364;18.566364;12028;12766;0.000311;10.934546;11.605454
1200;13878;16813;0.001450;11.565000;14.010834;719400;2398;0.001713;599.500000;1.998333;343859;343859;0.000921;286.549164;286.549164;24959;22559;0.000234;20.799166;18.799166;13747;14270;0.000338;11.455833;11.891666
1300;15960;16898;0.001310;12.276923;12.998462;844350;2598;0.001925;649.500000;1.998461;401959;401959;0.001108;309.199219;309.199219;27360;24760;0.000375;21.046154;19.046154;15241;13653;0.000395;11.723846;10.502308
1400;17493;20125;0.001470;12.495000;14.375000;979300;2798;0.002556;699.500000;1.998571;472940;472940;0.001271;337.814301;337.814301;29731;26931;0.000287;21.236429;19.236429;15783;15854;0.000439;11.273571;11.324286
1500;17688;20681;0.001490;11.792000;13.787333;1124250;2998;0.002572;749.500000;1.998667;543529;543529;0.001461;362.352661;362.352661;32177;29177;0.000335;21.451334;19.451334;17300;18025;0.000416;11.533334;12.016666
1600;18487;20568;0.001766;11.554375;12.855000;1279200;3198;0.002878;799.500000;1.998750;614118;614118;0.001609;383.823761;383.823761;34668;31468;0.000325;21.667500;19.667500;19229;19874;0.000456;12.018125;12.421250
1700;20303;23188;0.001789;11.942941;13.640000;1444150;3398;0.003332;849.500000;1.998824;695445;695445;0.001863;409.085297;409.085297;37044;33644;0.000347;21.790588;19.790588;20062;18920;0.000486;11.801176;11.129412
1800;22451;25689;0.001972;12.472777;14.271667;1619100;3598;0.003712;899.500000;1.998889;779870;779870;0.002135;433.261108;433.261108;39619;36019;0.000383;22.010555;20.010555;22336;23210;0.000656;12.408889;12.894444
1900;23206;28194;0.001896;12.213684;14.838947;1804050;3798;0.004252;949.500000;1.998947;857336;857336;0.002319;451.229462;451.229462;41982;38182;0.000412;22.095789;20.095789;23622;25732;0.000567;12.432631;13.543158
2000;25134;26931;0.002045;12.567000;13.465500;1999000;3998;0.004578;999.500000;1.999000;950338;950338;0.002556;475.169006;475.169006;44524;40524;0.000430;22.261999;20.261999;24017;25665;0.000687;12.008500;12.832500
2100;25260;26487;0.002120;12.028571;12.612857;2203950;4198;0.005087;1049.500000;1.999048;1060628;1060628;0.002859;505.060944;505.060944;46979;42779;0.000626;22.370953;20.370953;25648;24753;0.000617;12.213333;11.787143
2200;27685;28371;0.002156;12.584091;12.895909;2418900;4398;0.005544;1099.500000;1.999091;1156920;1156920;0.003079;525.872742;525.872742;49578;45178;0.000465;22.535454;20.535454;27921;27003;0.000684;12.691363;12.274091
2300;27733;32169;0.002565;12.057826;13.986522;2643850;4598;0.005937;1149.500000;1.999130;1294246;1294246;0.003504;562.715637;562.715637;52136;47536;0.000503;22.667826;20.667826;28648;28452;0.000670;12.455652;12.370435
2400;30206;34649;0.002412;12.585834;14.437083;2878800;4798;0.006477;1199.500000;1.999167;1380303;1380303;0.003696;575.126221;575.126221;54682;49882;0.000679;22.784166;20.784166;30079;31743;0.000775;12.532917;13.226250
2500;31570;33009;0.002502;12.628000;13.203600;3123750;4998;0.007219;1249.500000;1.999200;1499378;1499378;0.003934;599.751221;599.751221;57323;52323;0.000538;22.929199;20.929199;31364;31977;0.000760;12.545600;12.790800
2600;32001;33666;0.002643;12.308077;12.948462;3378700;5198;0.007540;1299.500000;1.999231;1633965;1633965;0.004560;628.448059;628.448059;59927;54727;0.000562;23.048845;21.048845;33076;34259;0.000772;12.721539;13.176538
2700;33687;38655;0.002904;12.476666;14.316667;3643650;5398;0.008163;1349.500000;1.999259;1777164;1777164;0.004728;658.208862;658.208862;62391;56991;0.000588;23.107779;21.107779;34204;35335;0.000878;12.668148;13.087037
2800;35763;36184;0.002966;12.772500;12.922857;3918600;5598;0.008992;1399.500000;1.999286;1869276;1869276;0.004903;667.598572;667.598572;65213;59613;0.000612;23.290358;21.290358;35658;32995;0.000833;12.735000;11.783929
2900;36835;41186;0.002971;12.701724;14.202069;4203550;5798;0.009862;1449.500000;1.999310;2014690;2014690;0.005311;694.720703;694.720703;67712;61912;0.000638;23.348965;21.348965;37428;38611;0.000859;12.906207;13.314137
