;;;quick;;;;;select;;;;;insert;;;;;heap;;;;;mquick
n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n
3000;40753;42424;0.003267;13.584333;14.141334;4498500;5998;0.010190;1499.500000;1.999333;2149820;2149820;0.005730;716.606689;716.606689;70385;64385;0.000660;23.461666;21.461666;39133;40595;0.000878;13.044333;13.531667
3100;42063;49861;0.003232;13.568709;16.084194;4803450;6198;0.010703;1549.500000;1.999355;2346614;2346614;0.006401;756.972229;756.972229;72952;66752;0.000730;23.532904;21.532904;40495;43662;0.000944;13.062903;14.084517
3200;43716;50789;0.003332;13.661250;15.871563;5118400;6398;0.012121;1599.500000;1.999375;2474969;2474969;0.006596;773.427795;773.427795;75665;69265;0.000742;23.645313;21.645313;42089;44810;0.000965;13.152813;14.003125
3300;44344;47978;0.003429;13.437575;14.538788;5443350;6598;0.012405;1649.500000;1.999394;2608525;2608525;0.007374;790.462097;790.462097;78341;71741;0.000760;23.739697;21.739697;42970;42661;0.000995;13.021213;12.927576
3400;46443;53244;0.003456;13.659706;15.660000;5778300;6798;0.012998;1699.500000;1.999412;2744689;2744689;0.007285;807.261475;807.261475;80990;74190;0.000777;23.820589;21.820589;43870;46203;0.001045;12.902941;13.589118
3500;45287;49935;0.003544;12.939143;14.267143;6123250;6998;0.013605;1749.500000;1.999429;2930104;2930104;0.007810;837.172546;837.172546;83571;76571;0.000789;23.877428;21.877428;45306;46929;0.001078;12.944571;13.408286
3600;48615;55180;0.003603;13.504167;15.327778;6478200;7198;0.014714;1799.500000;1.999444;3138700;3138700;0.008525;871.861084;871.861084;86247;79047;0.000812;23.957500;21.957500;47146;44420;0.001096;13.096111;12.338889
3700;49238;56873;0.003686;13.307568;15.371081;6843150;7398;0.015495;1849.500000;1.999460;3324709;3324709;0.008968;898.570007;898.570007;88938;81538;0.000871;24.037298;22.037298;48991;52535;0.001158;13.240810;14.198648
3800;49884;58381;0.003840;13.127368;15.363421;7218100;7598;0.016642;1899.500000;1.999474;3413294;3413294;0.009037;898.235291;898.235291;91710;84110;0.000860;24.134211;22.134211;51219;52508;0.001165;13.478684;13.817895
3900;53066;62931;0.004124;13.606667;16.136154;7603050;7798;0.017204;1949.500000;1.999487;3623557;3623557;0.009517;929.117188;929.117188;94284;86484;0.000884;24.175385;22.175385;52631;55313;0.001266;13.495129;14.182820
4000;55341;56370;0.004091;13.835250;14.092500;7998000;7998;0.018257;1999.500000;1.999500;3850998;3850998;0.010188;962.749512;962.749512;96829;88829;0.000912;24.207251;22.207251;54737;52963;0.001253;13.684250;13.240750
4100;56553;64461;0.004130;13.793415;15.722195;8402950;8198;0.018625;2049.500000;1.999512;4035396;4035396;0.010979;984.242920;984.242920;99612;91412;0.000937;24.295610;22.295610;53731;54298;0.001259;13.105122;13.243415
4200;57300;62128;0.004225;13.642858;14.792381;8817900;8398;0.019801;2099.500000;1.999524;4286826;4286826;0.011516;1020.672852;1020.672852;102359;93959;0.001011;24.371191;22.371191;57832;57429;0.001256;13.769524;13.673572
4300;59874;62456;0.004262;13.924186;14.524652;9242850;8598;0.020744;2149.500000;1.999535;4447779;4447779;0.011894;1034.367188;1034.367188;105138;96538;0.000988;24.450697;22.450697;57534;57247;0.001327;13.380000;13.313256
4400;60054;68340;0.004573;13.648637;15.531818;9677800;8798;0.021631;2199.500000;1.999545;4669424;4669424;0.012246;1061.232788;1061.232788;107896;99096;0.001015;24.521818;22.521818;58466;57796;0.001359;13.287727;13.135454
4500;62429;72748;0.004500;13.873111;16.166222;10122750;8998;0.022723;2249.500000;1.999556;4915128;4915128;0.013055;1092.250610;1092.250610;110599;101599;0.001057;24.577555;22.577555;62520;65302;0.001349;13.893333;14.511556
4600;61581;65417;0.004635;13.387174;14.221087;10577700;9198;0.023565;2299.500000;1.999565;5137477;5137477;0.013422;1116.842773;1116.842773;113302;104102;0.001149;24.630869;22.630869;61860;60488;0.001505;13.447826;13.149565
4700;63183;68010;0.004716;13.443192;14.470213;11042650;9398;0.024702;2349.500000;1.999574;5265314;5265314;0.013943;1120.279541;1120.279541;116202;106802;0.001092;24.723829;22.723829;64130;65242;0.001404;13.644681;13.881276
4800;66630;71621;0.004787;13.881250;14.921041;11517600;9598;0.025745;2399.500000;1.999583;5647784;5647784;0.014960;1176.621704;1176.621704;118901;109301;0.001118;24.771042;22.771042;66355;63353;0.001434;13.823958;13.198542
4900;68716;73355;0.004854;14.023673;14.970408;12002550;9798;0.026680;2449.500000;1.999592;5753323;5753323;0.015224;1174.147583;1174.147583;121796;111996;0.001146;24.856327;22.856327;70958;68475;0.001509;14.481224;13.974490
5000;69589;74020;0.004987;13.917800;14.804000;12497500;9998;0.027773;2499.500000;1.999600;6074662;6074662;0.016137;1214.932373;1214.932373;124543;114543;0.001271;24.908600;22.908600;69313;70739;0.001608;13.862600;14.147800
5100;75563;78069;0.005186;14.816275;15.307647;13002450;10198;0.029214;2549.500000;1.999608;6271651;6271651;0.017142;1229.735474;1229.735474;127345;117145;0.001213;24.969608;22.969608;69780;67471;0.001559;13.682353;13.229608
5200;76566;93941;0.005331;14.724231;18.065577;13517400;10398;0.030410;2599.500000;1.999615;6458752;6458752;0.016881;1242.067749;1242.067749;130267;119867;0.001225;25.051346;23.051346;71224;75900;0.001612;13.696923;14.596154
5300;74819;82735;0.005253;14.116793;15.610377;14042350;10598;0.031182;2649.500000;1.999623;6754650;6754650;0.017807;1274.462280;1274.462280;132969;122369;0.001256;25.088491;23.088491;74971;69369;0.001592;14.145472;13.088490
5400;81018;88835;0.005448;15.003333;16.450926;14577300;10798;0.032393;2699.500000;1.999630;7046999;7046999;0.018514;1304.999756;1304.999756;135731;124931;0.001302;25.135370;23.135370;75240;77687;0.001607;13.933333;14.386481
5500;77251;88127;0.005549;14.045636;16.023090;15122250;10998;0.033935;2749.500000;1.999636;7296702;7296702;0.019072;1326.673096;1326.673096;138614;127614;0.001321;25.202545;23.202545;75644;76040;0.001679;13.753454;13.825455
5600;81317;89360;0.005655;14.520893;15.957143;15677200;11198;0.035037;2799.500000;1.999643;7561586;7561586;0.019634;1350.283203;1350.283203;141460;130260;0.001332;25.260714;23.260714;77487;77233;0.001696;13.836965;13.791607
5700;83434;89334;0.005696;14.637544;15.672631;16242150;11398;0.036346;2849.500000;1.999649;7771617;7771617;0.020249;1363.441528;1363.441528;144406;133006;0.001356;25.334387;23.334387;79592;82267;0.001721;13.963509;14.432807
5800;91974;92929;0.005902;15.857586;16.022242;16817100;11598;0.037121;2899.500000;1.999655;8102702;8102702;0.021270;1397.017578;1397.017578;147205;135605;0.001384;25.380173;23.380173;84191;83080;0.001770;14.515690;14.324138
5900;87097;90757;0.005912;14.762203;15.382543;17402050;11798;0.038678;2949.500000;1.999661;8393363;8393363;0.021835;1422.603882;1422.603882;149956;138156;0.001410;25.416271;23.416271;83299;84020;0.001774;14.118475;14.240678
6000;88132;95094;0.005998;14.688666;15.849000;17997000;11998;0.040022;2999.500000;1.999667;8667694;8667694;0.022459;1444.615723;1444.615723;152833;140833;0.001456;25.472166;23.472166;87383;84933;0.001836;14.563833;14.155500
6100;88093;99432;0.006157;14.441476;16.300327;18601950;12198;0.041345;3049.500000;1.999672;8943489;8943489;0.023302;1466.145752;1466.145752;155559;143359;0.001465;25.501476;23.501476;86885;91122;0.001899;14.243443;14.938033
6200;88220;90290;0.006138;14.229033;14.562903;19216900;12398;0.042703;3099.500000;1.999677;9310802;9310802;0.024221;1501.742310;1501.742310;158333;145933;0.001491;25.537580;23.537580;86943;84496;0.001912;14.023065;13.628387
6300;93426;107004;0.006363;14.829524;16.984762;19841850;12598;0.043915;3149.500000;1.999683;9433554;9433554;0.024510;1497.389526;1497.389526;161507;148907;0.001518;25.636032;23.636032;89613;89920;0.001909;14.224286;14.273016
6400;93598;102021;0.006490;14.624687;15.940782;20476800;12798;0.045344;3199.500000;1.999688;9826050;9826050;0.026032;1535.320312;1535.320312;164200;151400;0.001548;25.656250;23.656250;90795;92217;0.001959;14.186719;14.408906
6500;102331;109335;0.006588;15.743231;16.820768;21121750;12998;0.046596;3249.500000;1.999692;10241383;10241383;0.026540;1575.597412;1575.597412;166972;153972;0.001571;25.688000;23.688000;96980;86718;0.001956;14.920000;13.341230
6600;98253;110897;0.006623;14.886818;16.802576;21776700;13198;0.048332;3299.500000;1.999697;10370710;10370710;0.026965;1571.319702;1571.319702;169889;156689;0.001629;25.740757;23.740757;94514;99660;0.002033;14.320303;15.100000
6700;95943;111454;0.006712;14.319851;16.634926;22441650;13398;0.049638;3349.500000;1.999701;10770571;10770571;0.028265;1607.547852;1607.547852;172677;159277;0.001623;25.772686;23.772686;95753;98208;0.002041;14.291492;14.657910
6800;103315;117958;0.006849;15.193382;17.346766;23116600;13598;0.050981;3399.500000;1.999706;11047574;11047574;0.028582;1624.643188;1624.643188;175393;161793;0.001645;25.793089;23.793089;100165;103170;0.002058;14.730147;15.172059
6900;100912;108800;0.006840;14.624928;15.768116;23801550;13798;0.052685;3449.500000;1.999710;11411439;11411439;0.029539;1653.831787;1653.831787;178350;164550;0.001700;25.847826;23.847826;99332;90630;0.002098;14.395942;13.134783
7000;104512;111909;0.007117;14.930285;15.987000;24496500;13998;0.054329;3499.500000;1.999714;11871986;11871986;0.030915;1695.998047;1695.998047;181146;167146;0.001712;25.878000;23.878000;98839;103815;0.002108;14.119857;14.830714
7100;102584;111367;0.007206;14.448451;15.685493;25201450;14198;0.056087;3549.500000;1.999718;12058214;12058214;0.031390;1698.339966;1698.339966;184334;170134;0.001734;25.962536;23.962536;100035;99954;0.002139;14.089437;14.078028
7200;106036;114579;0.007322;14.727222;15.913750;25916400;14398;0.057504;3599.500000;1.999722;12507399;12507399;0.032484;1737.138794;1737.138794;187013;172613;0.001791;25.974028;23.974028;104136;102347;0.002199;14.463333;14.214861
7300;111226;128592;0.007337;15.236439;17.615343;26641350;14598;0.058812;3649.500000;1.999726;12822538;12822538;0.033253;1756.512085;1756.512085;189760;175160;0.001785;25.994520;23.994520;103028;103605;0.002206;14.113424;14.192466
7400;111818;127276;0.007496;15.110540;17.199459;27376300;14798;0.060125;3699.500000;1.999730;13151334;13151334;0.034225;1777.207275;1777.207275;192799;177999;0.001868;26.053919;24.053919;106610;105801;0.002310;14.406756;14.297433
7500;107845;118548;0.007487;14.379333;15.806400;28121250;14998;0.062425;3749.500000;1.999733;13413748;13413748;0.034751;1788.499756;1788.499756;195525;180525;0.001858;26.070000;24.070000;110747;111889;0.002372;14.766267;14.918533
7600;120177;119276;0.007653;15.812763;15.694210;28876200;15198;0.063888;3799.500000;1.999737;13995141;13995141;0.036620;1841.465942;1841.465942;198353;183153;0.001869;26.099079;24.099079;109191;106965;0.002313;14.367237;14.074342
7700;114161;130983;0.007789;14.826104;17.010778;29641150;15398;0.065456;3849.500000;1.999740;14186606;14186606;0.036871;1842.416382;1842.416382;201353;185953;0.001902;26.149740;24.149740;110909;112160;0.002311;14.403767;14.566234
7800;121202;125864;0.007852;15.538718;16.136410;30416100;15598;0.067076;3899.500000;1.999744;14661263;14661263;0.038010;1879.649048;1879.649048;204232;188632;0.001923;26.183590;24.183590;113949;111147;0.002450;14.608846;14.249616
7900;125524;149139;0.007986;15.889114;18.878355;31201050;15798;0.068756;3949.500000;1.999747;15022652;15022652;0.039252;1901.601562;1901.601562;207018;191218;0.001950;26.204809;24.204809;115629;114995;0.002419;14.636582;14.556329
8000;116082;124413;0.008054;14.510250;15.551625;31996000;15998;0.070362;3999.500000;1.999750;15461269;15461269;0.039985;1932.658569;1932.658569;209901;193901;0.001997;26.237625;24.237625;118808;124639;0.002441;14.851000;15.579875
8100;115960;130094;0.008152;14.316050;16.060987;32800950;16198;0.072486;4049.500000;1.999753;15681202;15681202;0.040812;1935.950806;1935.950806;212809;196609;0.002005;26.272717;24.272717;117768;120394;0.002453;14.539259;14.863457
8200;132396;135520;0.008315;16.145853;16.526829;33615900;16398;0.074090;4099.500000;1.999756;16216809;16216809;0.042397;1977.659668;1977.659668;215646;199246;0.002028;26.298292;24.298292;122471;117419;0.002738;14.935488;14.319390
8300;127946;141809;0.008460;15.415181;17.085423;34440850;16598;0.077999;4149.500000;1.999759;16425753;16425753;0.043230;1979.006348;1979.006348;218420;201820;0.002134;26.315662;24.315662;123022;117504;0.002551;14.821928;14.157108
8400;123556;127514;0.008380;14.709047;15.180238;35275800;16798;0.079087;4199.500000;1.999762;16910966;16910966;0.043944;2013.210205;2013.210205;221592;204792;0.002106;26.379999;24.379999;121786;118970;0.002606;14.498333;14.163095
8500;125706;127779;0.008473;14.788941;15.032824;36120750;16998;0.079329;4249.500000;1.999765;17254165;17254165;0.044721;2029.901611;2029.901611;224502;207502;0.002118;26.412001;24.412001;126700;125436;0.002673;14.905882;14.757176
8600;131830;145309;0.008590;15.329070;16.896395;36975700;17198;0.081404;4299.500000;1.999767;17682236;17682236;0.046142;2056.073975;2056.073975;227556;210356;0.002157;26.459999;24.459999;126202;122898;0.002615;14.674651;14.290465
8700;135026;151234;0.008811;15.520230;17.383219;37840650;17398;0.083121;4349.500000;1.999770;18070796;18070796;0.046879;2077.103027;2077.103027;230568;213168;0.002265;26.502069;24.502069;128989;135773;0.002788;14.826322;15.606091
8800;135471;135530;0.009095;15.394432;15.401136;38715600;17598;0.085104;4399.500000;1.999773;18811347;18811347;0.048827;2137.653076;2137.653076;233230;215630;0.002203;26.503408;24.503408;128484;126704;0.002718;14.600454;14.398182
8900;133321;145560;0.008902;14.979888;16.355057;39600550;17798;0.087134;4449.500000;1.999775;19128025;19128025;0.049391;2149.216064;2149.216064;236296;218496;0.002224;26.550112;24.550112;133664;133991;0.002734;15.018427;15.055168
9000;140541;153601;0.009066;15.615666;17.066778;40495500;17998;0.091960;4499.500000;1.999778;19429007;19429007;0.050749;2158.778564;2158.778564;239291;221291;0.002298;26.587889;24.587889;129761;129297;0.002975;14.417889;14.366333
9100;143027;159500;0.009413;15.717253;17.527473;41400450;18198;0.090595;4549.500000;1.999780;19896902;19896902;0.051427;2186.472656;2186.472656;242347;224147;0.002304;26.631538;24.631538;135978;142680;0.002811;14.942637;15.679121
9200;141318;156774;0.009175;15.360652;17.040651;42315400;18398;0.092617;4599.500000;1.999783;20399486;20399486;0.052952;2217.335449;2217.335449;245237;226837;0.002338;26.656197;24.656197;133616;133669;0.002833;14.523479;14.529239
9300;142421;156475;0.009289;15.314086;16.825270;43240350;18598;0.094503;4649.500000;1.999785;20594085;20594085;0.053293;2214.417725;2214.417725;248197;229597;0.002379;26.687849;24.687849;140069;147639;0.002932;15.061183;15.875161
9400;152156;163940;0.009469;16.186808;17.440426;44175300;18798;0.096862;4699.500000;1.999787;21167901;21167901;0.054687;2251.904297;2251.904297;251363;232563;0.002363;26.740746;24.740746;138002;145060;0.002914;14.681064;15.431915
9500;144351;148969;0.009475;15.194842;15.680947;45120250;18998;0.098853;4749.500000;1.999789;21758563;21758563;0.056172;2290.375244;2290.375244;254245;235245;0.002417;26.762632;24.762632;137361;136488;0.002932;14.459053;14.367158
9600;145489;153299;0.009587;15.155105;15.968646;46075200;19198;0.101331;4799.500000;1.999792;22258151;22258151;0.057540;2318.557617;2318.557617;257154;237954;0.002426;26.786875;24.786875;142773;142112;0.002956;14.872188;14.803333
9700;144978;158317;0.009739;14.946185;16.321341;47040150;19398;0.102922;4849.500000;1.999794;22458655;22458655;0.058017;2315.325439;2315.325439;260285;240885;0.002458;26.833506;24.833506;140871;145551;0.003014;14.522783;15.005258
9800;147947;164875;0.010189;15.096633;16.823980;48015100;19598;0.105092;4899.500000;1.999796;23064232;23064232;0.059579;2353.493164;2353.493164;263323;243723;0.002563;26.869694;24.869694;146134;147380;0.003054;14.911633;15.038775
9900;150353;172791;0.009934;15.187172;17.453636;49000050;19798;0.107598;4949.500000;1.999798;23375754;23375754;0.060466;2361.187256;2361.187256;266339;246539;0.002509;26.902929;24.902929;146949;146665;0.003050;14.843333;14.814647
10000;158606;182316;0.010440;15.860600;18.231600;49995000;19998;0.110157;4999.500000;1.999800;24070703;24070703;0.062179;2407.070312;2407.070312;269309;249309;0.002555;26.930901;24.930901;153684;159664;0.003090;15.368400;15.966400
