;;;quick;;;;;select;;;;;insert;;;;;heap;;;;;mquick
n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n
1500;18274;19659;0.001494;12.182667;13.106000;1124250;2998;0.002544;749.500000;1.998667;541150;541150;0.001482;360.766663;360.766663;32205;29205;0.000303;21.469999;19.469999;17569;17550;0.000429;11.712667;11.700000
1600;19557;22326;0.001593;12.223125;13.953750;1279200;3198;0.002883;799.500000;1.998750;615039;615039;0.001617;384.399384;384.399384;34641;31441;0.000327;21.650625;19.650625;18789;19136;0.000460;11.743125;11.960000
1700;20348;23387;0.001665;11.969412;13.757059;1444150;3398;0.003263;849.500000;1.998824;696675;696675;0.001842;409.808838;409.808838;37051;33651;0.000346;21.794706;19.794706;20336;21135;0.000488;11.962353;12.432353
1800;22157;24101;0.001779;12.309444;13.389444;1619100;3598;0.003618;899.500000;1.998889;776379;776379;0.002036;431.321655;431.321655;39537;35937;0.000390;21.965000;19.965000;21705;21406;0.000526;12.058333;11.892222
1900;23108;25216;0.001902;12.162106;13.271579;1804050;3798;0.004017;949.500000;1.998947;868748;868748;0.002291;457.235779;457.235779;42014;38214;0.000400;22.112631;20.112631;23364;23084;0.000566;12.296843;12.149474
2000;24965;27555;0.002004;12.482500;13.777500;1999000;3998;0.004471;999.500000;1.999000;962338;962338;0.002533;481.169006;481.169006;44469;40469;0.000419;22.234501;20.234501;24181;24172;0.000573;12.090500;12.086000
2100;26246;27876;0.002061;12.498096;13.274285;2203950;4198;0.004887;1049.500000;1.999048;1066278;1066278;0.002789;507.751434;507.751434;46963;42763;0.000459;22.363333;20.363333;26034;25514;0.000630;12.397142;12.149524
2200;28091;30317;0.002163;12.768637;13.780455;2418900;4398;0.005366;1099.500000;1.999091;1169249;1169249;0.003080;531.476807;531.476807;49538;45138;0.000468;22.517273;20.517273;27342;27162;0.000639;12.428182;12.346364
2300;28187;31006;0.002260;12.255218;13.480869;2643850;4598;0.005878;1149.500000;1.999130;1274273;1274273;0.003334;554.031738;554.031738;52130;47530;0.000497;22.665216;20.665216;28446;28525;0.000677;12.367826;12.402174
2400;30968;34083;0.002367;12.903334;14.201250;2878800;4798;0.006368;1199.500000;1.999167;1385065;1385065;0.003638;577.110413;577.110413;54717;49917;0.000516;22.798750;20.798750;30001;30845;0.000695;12.500417;12.852083
2500;31599;33741;0.002474;12.639600;13.496400;3123750;4998;0.006886;1249.500000;1.999200;1505900;1505900;0.003950;602.359985;602.359985;57304;52304;0.000543;22.921600;20.921600;31724;31360;0.000727;12.689600;12.544000
2600;33217;36827;0.002562;12.775769;14.164230;3378700;5198;0.007478;1299.500000;1.999231;1632565;1632565;0.004300;627.909607;627.909607;59921;54721;0.000569;23.046539;21.046539;33069;33025;0.000778;12.718846;12.701923
2700;35227;39997;0.002654;13.047037;14.813704;3643650;5398;0.008085;1349.500000;1.999259;1742995;1742995;0.004534;645.553711;645.553711;62534;57134;0.000587;23.160740;21.160740;34596;35239;0.000788;12.813334;13.051481
2800;36202;39741;0.002761;12.929286;14.193214;3918600;5598;0.008691;1399.500000;1.999286;1882907;1882907;0.004975;672.466797;672.466797;65156;59556;0.000625;23.270000;21.270000;36191;36229;0.000821;12.925357;12.938929
2900;38341;40451;0.002860;13.221034;13.948621;4203550;5798;0.009321;1449.500000;1.999310;2022199;2022199;0.005256;697.309998;697.309998;67746;61946;0.000645;23.360689;21.360689;37597;37575;0.000848;12.964482;12.956897
3000;39562;44957;0.002993;13.187333;14.985666;4498500;5998;0.010011;1499.500000;1.999333;2154070;2154070;0.005718;718.023315;718.023315;70439;64439;0.000676;23.479666;21.479666;38765;39865;0.000895;12.921667;13.288333
3100;41089;45183;0.003077;13.254517;14.575161;4803450;6198;0.010628;1549.500000;1.999355;2318245;2318245;0.006014;747.820984;747.820984;73007;66807;0.000688;23.550646;21.550646;40358;41463;0.000926;13.018710;13.375161
3200;43028;47033;0.003162;13.446250;14.697812;5118400;6398;0.011367;1599.500000;1.999375;2475148;2475148;0.006431;773.483765;773.483765;75670;69270;0.000710;23.646875;21.646875;42221;42366;0.000940;13.194062;13.239375
3300;43742;46657;0.003273;13.255152;14.138485;5443350;6598;0.011999;1649.500000;1.999394;2608510;2608510;0.006818;790.457581;790.457581;78345;71745;0.000741;23.740910;21.740910;42682;42272;0.000969;12.933939;12.809697
3400;44754;48342;0.003363;13.162941;14.218235;5778300;6798;0.012748;1699.500000;1.999412;2773514;2773514;0.007245;815.739441;815.739441;80973;74173;0.000766;23.815588;21.815588;44564;44534;0.001001;13.107059;13.098235
3500;47193;51196;0.003465;13.483714;14.627429;6123250;6998;0.013521;1749.500000;1.999429;2947286;2947286;0.007650;842.081726;842.081726;83635;76635;0.000795;23.895714;21.895714;45980;45521;0.001037;13.137143;13.006000
3600;48669;53019;0.003592;13.519167;14.727500;6478200;7198;0.014291;1799.500000;1.999444;3115709;3115709;0.008095;865.474731;865.474731;86328;79128;0.000816;23.980000;21.980000;47387;47154;0.001073;13.163055;13.098333
3700;50201;52500;0.003689;13.567838;14.189189;6843150;7398;0.015038;1849.500000;1.999460;3293569;3293569;0.008612;890.153809;890.153809;88883;81483;0.000835;24.022432;22.022432;49080;48953;0.001098;13.264865;13.230540
3800;50870;55053;0.003770;13.386842;14.487632;7218100;7598;0.015908;1899.500000;1.999474;3460957;3460957;0.009011;910.778137;910.778137;91649;84049;0.000862;24.118158;22.118158;50075;50248;0.001158;13.177631;13.223158
3900;54057;57404;0.003883;13.860769;14.718974;7603050;7798;0.016734;1949.500000;1.999487;3654023;3654023;0.009485;936.928955;936.928955;94290;86490;0.000886;24.176924;22.176924;53107;52571;0.001161;13.617180;13.479744
4000;56306;62974;0.003969;14.076500;15.743500;7998000;7998;0.017581;1999.500000;1.999500;3858590;3858590;0.010053;964.647522;964.647522;96918;88918;0.000920;24.229500;22.229500;53120;53061;0.001235;13.280000;13.265250
4100;56338;62523;0.004064;13.740975;15.249512;8402950;8198;0.018461;2049.500000;1.999512;4038402;4038402;0.010602;984.976074;984.976074;99602;91402;0.000946;24.293171;22.293171;55650;56202;0.001233;13.573171;13.707805
4200;58461;63699;0.004153;13.919286;15.166429;8817900;8398;0.019399;2099.500000;1.999524;4258781;4258781;0.011105;1013.995483;1013.995483;102366;93966;0.000976;24.372858;22.372858;56898;56923;0.001253;13.547143;13.553095
4300;59131;63533;0.004325;13.751395;14.775116;9242850;8598;0.020513;2149.500000;1.999535;4452182;4452182;0.011943;1035.391113;1035.391113;105129;96529;0.001019;24.448605;22.448605;57898;57733;0.001304;13.464651;13.426279
4400;61491;68388;0.004373;13.975227;15.542727;9677800;8798;0.021279;2199.500000;1.999545;4660185;4660185;0.012111;1059.132935;1059.132935;107828;99028;0.001018;24.506363;22.506363;60129;60890;0.001308;13.665682;13.838636
4500;62370;69058;0.004441;13.860000;15.346222;10122750;8998;0.022215;2249.500000;1.999556;4871020;4871020;0.012666;1082.448853;1082.448853;110668;101668;0.001044;24.592890;22.592890;61330;62040;0.001351;13.628889;13.786667
4600;64755;73841;0.004553;14.077174;16.052391;10577700;9198;0.023190;2299.500000;1.999565;5075015;5075015;0.013192;1103.264160;1103.264160;113422;104222;0.001067;24.656956;22.656956;62758;62977;0.001374;13.643044;13.690652
4700;66306;73152;0.004648;14.107659;15.564256;11042650;9398;0.024242;2349.500000;1.999574;5314226;5314226;0.013816;1130.686401;1130.686401;116183;106783;0.001093;24.719788;22.719788;64849;64998;0.001422;13.797660;13.829362
4800;67152;74034;0.005042;13.990000;15.423750;11517600;9598;0.026828;2399.500000;1.999583;5550186;5550186;0.015387;1156.288696;1156.288696;119036;109436;0.001195;24.799166;22.799166;65921;66235;0.001543;13.733541;13.798959
4900;68737;71839;0.005456;14.027959;14.661020;12002550;9798;0.031814;2449.500000;1.999592;5788126;5788126;0.019118;1181.250244;1181.250244;121807;112007;0.001282;24.858572;22.858572;67570;68002;0.001643;13.789796;13.877959
5000;70548;76901;0.005670;14.109600;15.380200;12497500;9998;0.031398;2499.500000;1.999600;6015669;6015669;0.019104;1203.133789;1203.133789;124601;114601;0.001368;24.920200;22.920200;69245;67678;0.001737;13.849000;13.535600
5100;72833;75835;0.005691;14.280980;14.869608;13002450;10198;0.032418;2549.500000;1.999608;6236101;6236101;0.018719;1222.764893;1222.764893;127430;117230;0.001353;24.986275;22.986275;71373;71192;0.001734;13.994706;13.959216
5200;72378;78741;0.005649;13.918846;15.142500;13517400;10398;0.032120;2599.500000;1.999615;6489923;6489923;0.018228;1248.062134;1248.062134;130241;119841;0.001333;25.046347;23.046347;72652;73477;0.001704;13.971539;14.130193
5300;76414;84830;0.005577;14.417736;16.005661;14042350;10598;0.032742;2649.500000;1.999623;6762868;6762868;0.018740;1276.012817;1276.012817;133023;122423;0.001365;25.098679;23.098679;74299;74916;0.001726;14.018680;14.135095
5400;75913;84455;0.005535;14.057963;15.639814;14577300;10798;0.032817;2699.500000;1.999630;7033640;7033640;0.018597;1302.525879;1302.525879;135782;124982;0.001324;25.144815;23.144815;75102;77559;0.001681;13.907778;14.362778
5500;78938;84629;0.005519;14.352364;15.387091;15122250;10998;0.033801;2749.500000;1.999636;7334847;7334847;0.019479;1333.608521;1333.608521;138595;127595;0.001328;25.199091;23.199091;77241;78191;0.001681;14.043818;14.216545
5600;81746;84768;0.005557;14.597500;15.137143;15677200;11198;0.034335;2799.500000;1.999643;7546376;7546376;0.019562;1347.567139;1347.567139;141457;130257;0.001337;25.260180;23.260180;79107;80532;0.001689;14.126250;14.380714
5700;81834;89038;0.005658;14.356842;15.620702;16242150;11398;0.035544;2849.500000;1.999649;7808607;7808607;0.020221;1369.931030;1369.931030;144302;132902;0.001360;25.316141;23.316141;80927;80833;0.001736;14.197720;14.181228
5800;83782;92053;0.005782;14.445172;15.871207;16817100;11598;0.036836;2899.500000;1.999655;8086166;8086166;0.020991;1394.166504;1394.166504;147098;135498;0.001387;25.361725;23.361725;80914;81316;0.001768;13.950689;14.020000
5900;86766;93581;0.005865;14.706101;15.861186;17402050;11798;0.038015;2949.500000;1.999661;8348853;8348853;0.021684;1415.059814;1415.059814;149967;138167;0.001410;25.418135;23.418135;83068;83930;0.001786;14.079322;14.225424
6000;87311;94977;0.005983;14.551833;15.829500;17997000;11998;0.039341;2999.500000;1.999667;8688491;8688491;0.022497;1448.081787;1448.081787;152787;140787;0.001451;25.464500;23.464500;84525;86212;0.001839;14.087500;14.368667
6100;88453;95539;0.006056;14.500492;15.662131;18601950;12198;0.040634;3049.500000;1.999672;8947592;8947592;0.023150;1466.818359;1466.818359;155634;143434;0.001468;25.513771;23.513771;86119;87399;0.001845;14.117868;14.327705
6200;92311;101541;0.006190;14.888871;16.377581;19216900;12398;0.041984;3099.500000;1.999677;9242881;9242881;0.023877;1490.787231;1490.787231;158435;146035;0.001494;25.554031;23.554031;87951;88661;0.001872;14.185645;14.300161
6300;92421;100995;0.006291;14.670000;16.030952;19841850;12598;0.043350;3149.500000;1.999683;9523705;9523705;0.024657;1511.699219;1511.699219;161270;148670;0.001521;25.598413;23.598413;88364;88922;0.001900;14.026031;14.114603
6400;93264;102643;0.006377;14.572500;16.037970;20476800;12798;0.044702;3199.500000;1.999688;9848842;9848842;0.025479;1538.881592;1538.881592;164131;151331;0.001555;25.645470;23.645470;91452;90917;0.001937;14.289375;14.205781
6500;96244;103060;0.006471;14.806769;15.855385;21121750;12998;0.046230;3249.500000;1.999692;10178131;10178131;0.026318;1565.866333;1565.866333;166956;153956;0.001571;25.685539;23.685539;91853;94049;0.001980;14.131230;14.469077
6600;96966;105275;0.006557;14.691818;15.950758;21776700;13198;0.047472;3299.500000;1.999697;10453799;10453799;0.027075;1583.908936;1583.908936;169911;156711;0.001604;25.744091;23.744091;93981;95203;0.002006;14.239546;14.424697
6700;100173;107594;0.006673;14.951194;16.058805;22441650;13398;0.049011;3349.500000;1.999701;10769008;10769008;0.028019;1607.314575;1607.314575;172686;159286;0.001623;25.774031;23.774031;96156;95387;0.002041;14.351642;14.236866
6800;100847;109295;0.006828;14.830441;16.072794;23116600;13598;0.050446;3399.500000;1.999706;11147697;11147697;0.028975;1639.367188;1639.367188;175502;161902;0.001665;25.809118;23.809118;97313;97651;0.002076;14.310736;14.360441
6900;104546;111138;0.006856;15.151594;16.106956;23801550;13798;0.051963;3449.500000;1.999710;11439927;11439927;0.029578;1657.960449;1657.960449;178404;164604;0.001680;25.855652;23.855652;99082;100719;0.002109;14.359710;14.596956
7000;102938;112795;0.006960;14.705428;16.113571;24496500;13998;0.053417;3499.500000;1.999714;11819309;11819309;0.030572;1688.472656;1688.472656;181253;167253;0.001708;25.893286;23.893286;100920;102515;0.002131;14.417143;14.645000
7100;107389;113308;0.007061;15.125212;15.958873;25201450;14198;0.055082;3549.500000;1.999718;12143041;12143041;0.031384;1710.287476;1710.287476;184087;169887;0.001736;25.927746;23.927746;101584;100379;0.002153;14.307606;14.137887
7200;109125;119423;0.007156;15.156250;16.586527;25916400;14398;0.056582;3599.500000;1.999722;12480587;12480587;0.032274;1733.414917;1733.414917;186944;172544;0.001766;25.964445;23.964445;103676;103634;0.002196;14.399445;14.393611
7300;109004;118689;0.007259;14.932055;16.258766;26641350;14598;0.058216;3649.500000;1.999726;12844220;12844220;0.033156;1759.482178;1759.482178;189866;175266;0.001792;26.009041;24.009041;105036;103443;0.002215;14.388494;14.170274
7400;110212;117135;0.007353;14.893514;15.829054;27376300;14798;0.059669;3699.500000;1.999730;13143389;13143389;0.033979;1776.133667;1776.133667;192731;177931;0.001821;26.044729;24.044729;106570;107393;0.002262;14.401351;14.512568
7500;110322;122176;0.007461;14.709600;16.290133;28121250;14998;0.061378;3749.500000;1.999733;13533760;13533760;0.034988;1804.501343;1804.501343;195522;180522;0.001855;26.069599;24.069599;108442;109211;0.002277;14.458933;14.561466
7600;113937;119764;0.007571;14.991711;15.758421;28876200;15198;0.062902;3799.500000;1.999737;13879870;13879870;0.035898;1826.298706;1826.298706;198382;183182;0.001868;26.102894;24.102894;110033;108499;0.002310;14.478026;14.276184
7700;116795;125530;0.007707;15.168181;16.302597;29641150;15398;0.064623;3849.500000;1.999740;14280212;14280212;0.037042;1854.572998;1854.572998;201286;185886;0.001905;26.141039;24.141039;112320;113451;0.002368;14.587013;14.733896
7800;115548;125945;0.007836;14.813847;16.146795;30416100;15598;0.066314;3899.500000;1.999744;14703561;14703561;0.037984;1885.071899;1885.071899;204135;188535;0.001924;26.171154;24.171154;113310;116133;0.002398;14.526923;14.888846
7900;118602;128349;0.007869;15.012912;16.246708;31201050;15798;0.068090;3949.500000;1.999747;15035662;15035662;0.038823;1903.248413;1903.248413;206992;191192;0.001955;26.201519;24.201519;114771;116666;0.002419;14.527975;14.767848
8000;121874;130816;0.007959;15.234250;16.351999;31996000;15998;0.069803;3999.500000;1.999750;15397506;15397506;0.039767;1924.688232;1924.688232;209850;193850;0.001986;26.231251;24.231251;116732;115834;0.002448;14.591500;14.479250
8100;122462;130775;0.008095;15.118766;16.145061;32800950;16198;0.071475;4049.500000;1.999753;15797934;15797934;0.040878;1950.362183;1950.362183;212763;196563;0.002013;26.267036;24.267036;117514;117904;0.002485;14.507901;14.556049
8200;125743;136139;0.008172;15.334512;16.602318;33615900;16398;0.073273;4099.500000;1.999756;16099663;16099663;0.041629;1963.373535;1963.373535;215682;199282;0.002044;26.302683;24.302683;120265;119008;0.002515;14.666464;14.513171
8300;127154;138239;0.008283;15.319759;16.655302;34440850;16598;0.075038;4149.500000;1.999759;16489509;16489509;0.042667;1986.687866;1986.687866;218613;202013;0.002080;26.338915;24.338915;123060;122732;0.002545;14.826506;14.786988
8400;126229;136052;0.008373;15.027262;16.196667;35275800;16798;0.076794;4199.500000;1.999762;16923982;16923982;0.043746;2014.759766;2014.759766;221566;204766;0.002093;26.376905;24.376905;122953;124089;0.002575;14.637262;14.772500
8500;131160;141245;0.008492;15.430588;16.617060;36120750;16998;0.078692;4249.500000;1.999765;17385514;17385514;0.044955;2045.354614;2045.354614;224489;207489;0.002138;26.410471;24.410471;126006;125238;0.002598;14.824235;14.733882
8600;131991;142548;0.008602;15.347791;16.575348;36975700;17198;0.080517;4299.500000;1.999767;17741767;17741767;0.045886;2062.996338;2062.996338;227482;210282;0.002150;26.451395;24.451395;126579;127947;0.002644;14.718489;14.877558
8700;134107;142561;0.008682;15.414598;16.386322;37840650;17398;0.082478;4349.500000;1.999770;18195683;18195683;0.047037;2091.458008;2091.458008;230427;213027;0.002177;26.485863;24.485863;128825;128669;0.002677;14.807471;14.789540
8800;135177;151858;0.008791;15.361023;17.256592;38715600;17598;0.084238;4399.500000;1.999773;18681616;18681616;0.048270;2122.910889;2122.910889;233369;215769;0.002211;26.519205;24.519205;131182;132349;0.002704;14.907045;15.039660
8900;138626;150135;0.008902;15.575955;16.869101;39600550;17798;0.086282;4449.500000;1.999775;19022812;19022812;0.049129;2137.394531;2137.394531;236372;218572;0.002232;26.558651;24.558651;132560;131728;0.002740;14.894382;14.800899
9000;137583;151576;0.009065;15.287000;16.841778;40495500;17998;0.088634;4499.500000;1.999778;19494519;19494519;0.050485;2166.057861;2166.057861;239279;221279;0.002281;26.586555;24.586555;132188;132630;0.002785;14.687555;14.736667
9100;140718;154364;0.009084;15.463516;16.963078;41400450;18198;0.090171;4549.500000;1.999780;19969494;19969494;0.051585;2194.449951;2194.449951;242245;224045;0.002289;26.620329;24.620329;134318;136779;0.002798;14.760220;15.030660
9200;141548;152812;0.009198;15.385653;16.610001;42315400;18398;0.092220;4599.500000;1.999783;20409619;20409619;0.052756;2218.437012;2218.437012;245284;226884;0.002317;26.661304;24.661304;137322;137094;0.002840;14.926305;14.901522
9300;143606;153173;0.009314;15.441505;16.470215;43240350;18598;0.094125;4649.500000;1.999785;20782637;20782637;0.053700;2234.692139;2234.692139;248291;229691;0.002349;26.697956;24.697956;137299;140862;0.002858;14.763333;15.146452
9400;148352;160872;0.009433;15.782127;17.114042;44175300;18798;0.096277;4699.500000;1.999787;21296966;21296966;0.055183;2265.634766;2265.634766;251204;232404;0.002378;26.723829;24.723829;140945;143245;0.002900;14.994149;15.238830
9500;146489;158030;0.009532;15.419895;16.634737;45120250;18998;0.098257;4749.500000;1.999789;21656189;21656189;0.055959;2279.598633;2279.598633;254237;235237;0.002406;26.761789;24.761789;141287;140503;0.002936;14.872315;14.789789
9600;147402;159037;0.009597;15.354375;16.566355;46075200;19198;0.100327;4799.500000;1.999792;22167130;22167130;0.057327;2309.075928;2309.075928;257245;238045;0.002432;26.796354;24.796354;142607;142351;0.002967;14.854896;14.828229
9700;147389;158361;0.009700;15.194742;16.325876;47040150;19398;0.102474;4849.500000;1.999794;22580841;22580841;0.058429;2327.921631;2327.921631;260278;240878;0.002462;26.832783;24.832783;143661;143692;0.002999;14.810412;14.813608
9800;150569;168322;0.010337;15.364183;17.175714;48015100;19598;0.110799;4899.500000;1.999796;23096266;23096266;0.062894;2356.761719;2356.761719;263231;243631;0.002654;26.860306;24.860306;146739;148309;0.003221;14.973368;15.133572
9900;156292;169228;0.009924;15.787070;17.093737;49000050;19798;0.107030;4949.500000;1.999798;23499492;23499492;0.060891;2373.686035;2373.686035;266203;246403;0.002520;26.889193;24.889193;148887;150691;0.003051;15.039091;15.221313
10000;151292;167619;0.010317;15.129200;16.761900;49995000;19998;0.112105;4999.500000;1.999800;24044613;24044613;0.064243;2404.461182;2404.461182;269239;249239;0.002631;26.923901;24.923901;149364;150758;0.003191;14.936400;15.075800
