;;;quick;;;;;select;;;;;insert;;;;;heap;;;;;mquick
n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n;c;s;t;c/n;s/n
100;628;775;0.000273;6.280000;7.750000;4950;198;0.000043;49.500000;1.980000;2504;2504;0.000022;25.040001;25.040001;1361;1161;0.000037;13.610000;11.610000;712;742;0.000069;7.120000;7.420000
200;1610;1825;0.000199;8.050000;9.125000;19900;398;0.000056;99.500000;1.990000;9643;9643;0.000028;48.215000;48.215000;3132;2732;0.000032;15.660000;13.660000;1656;1679;0.000056;8.280000;8.395000
300;2568;3000;0.000292;8.560000;10.000000;44850;598;0.000112;149.500000;1.993333;21820;21820;0.000060;72.733330;72.733330;5039;4439;0.000047;16.796667;14.796667;2721;2794;0.000083;9.070000;9.313334
400;3686;4337;0.000426;9.215000;10.842500;79800;798;0.000208;199.500000;1.995000;37909;37909;0.000115;94.772499;94.772499;7072;6272;0.000070;17.680000;15.680000;3750;3795;0.000115;9.375000;9.487500
500;4797;5426;0.000506;9.594000;10.852000;124750;998;0.000301;249.500000;1.996000;60525;60525;0.000174;121.050003;121.050003;9120;8120;0.000089;18.240000;16.240000;4933;4899;0.000140;9.866000;9.798000
600;6323;7286;0.000597;10.538333;12.143333;179700;1198;0.000467;299.500000;1.996667;88230;88230;0.000250;147.050003;147.050003;11272;10072;0.000113;18.786667;16.786667;6169;6193;0.000173;10.281667;10.321667
700;7146;8188;0.000708;10.208571;11.697143;244650;1398;0.000606;349.500000;1.997143;118493;118493;0.000322;169.275711;169.275711;13487;12087;0.000129;19.267143;17.267143;7282;7356;0.000199;10.402857;10.508572
800;8341;9338;0.000812;10.426250;11.672500;319600;1598;0.000758;399.500000;1.997500;154004;154004;0.000419;192.505005;192.505005;15726;14126;0.000154;19.657499;17.657499;8466;8427;0.000234;10.582500;10.533750
900;9821;10923;0.000885;10.912222;12.136666;404550;1798;0.000976;449.500000;1.997778;194260;194260;0.000552;215.844452;215.844452;17990;16190;0.000171;19.988890;17.988890;9825;9729;0.000251;10.916667;10.810000
1000;11083;12242;0.001034;11.083000;12.242000;499500;1998;0.001135;499.500000;1.998000;240739;240739;0.000644;240.738998;240.738998;20226;18226;0.000191;20.226000;18.226000;10934;11018;0.000288;10.934000;11.018000
1100;12312;13627;0.001084;11.192727;12.388182;604450;2198;0.001385;549.500000;1.998182;291542;291542;0.000798;265.038177;265.038177;22562;20362;0.000212;20.510910;18.510910;12388;12790;0.000312;11.261818;11.627273
1200;13808;15541;0.001202;11.506667;12.950833;719400;2398;0.001656;599.500000;1.998333;346197;346197;0.000924;288.497498;288.497498;24934;22534;0.000236;20.778334;18.778334;13811;13862;0.000334;11.509167;11.551666
1300;14840;16857;0.001331;11.415384;12.966923;844350;2598;0.001898;649.500000;1.998461;410292;410292;0.001076;315.609222;315.609222;27326;24726;0.000257;21.020000;19.020000;14963;15054;0.000378;11.510000;11.580000
1400;16135;18002;0.001373;11.525000;12.858571;979300;2798;0.002239;699.500000;1.998571;468230;468230;0.001237;334.450012;334.450012;29790;26990;0.000293;21.278572;19.278572;16294;16465;0.000399;11.638572;11.760715
